batchsize,trial_id,engine,elapsed_time
100,1,XGBoost,0.00443578
100,2,XGBoost,0.00354648
100,3,XGBoost,0.00363469
100,4,XGBoost,0.00379038
100,5,XGBoost,0.0074954
100,6,XGBoost,0.00363946
100,7,XGBoost,0.00353074
100,8,XGBoost,0.00368738
100,9,XGBoost,0.00742745
100,10,XGBoost,0.00362158
100,11,XGBoost,0.00356555
100,12,XGBoost,0.00410581
100,13,XGBoost,0.0037179
100,14,XGBoost,0.003618
100,15,XGBoost,0.00369787
100,16,XGBoost,0.00353312
100,17,XGBoost,0.00754118
100,18,XGBoost,0.00364375
100,19,XGBoost,0.00360632
100,20,XGBoost,0.00355721
100,21,XGBoost,0.00363541
100,22,XGBoost,0.00365567
100,23,XGBoost,0.00371933
100,24,XGBoost,0.00359607
100,25,XGBoost,0.00372148
100,26,XGBoost,0.00361419
100,27,XGBoost,0.00374746
100,28,XGBoost,0.0073483
100,29,XGBoost,0.0036335
100,30,XGBoost,0.00355005
100,31,XGBoost,0.00366402
100,32,XGBoost,0.00366139
100,33,XGBoost,0.00367451
100,34,XGBoost,0.0035603
100,35,XGBoost,0.00362182
100,36,XGBoost,0.00356674
100,37,XGBoost,0.00370669
100,38,XGBoost,0.00358772
100,39,XGBoost,0.00363779
100,40,XGBoost,0.00367832
100,41,XGBoost,0.00355411
100,42,XGBoost,0.00359917
100,43,XGBoost,0.00361276
100,44,XGBoost,0.00753522
100,45,XGBoost,0.00360727
100,46,XGBoost,0.0036211
100,47,XGBoost,0.00360584
100,48,XGBoost,0.003618
100,49,XGBoost,0.00369453
100,50,XGBoost,0.00368452
100,51,XGBoost,0.00372338
100,52,XGBoost,0.00367546
100,53,XGBoost,0.00372767
100,54,XGBoost,0.00360823
100,55,XGBoost,0.00354338
100,56,XGBoost,0.00369906
100,57,XGBoost,0.0037024
100,58,XGBoost,0.00365925
100,59,XGBoost,0.00361156
100,60,XGBoost,0.00747585
100,61,XGBoost,0.00357914
100,62,XGBoost,0.00360894
100,63,XGBoost,0.00364232
100,64,XGBoost,0.00358057
100,65,XGBoost,0.00369811
100,66,XGBoost,0.00364804
100,67,XGBoost,0.00353837
100,68,XGBoost,0.00371695
100,69,XGBoost,0.00353503
100,70,XGBoost,0.00365162
100,71,XGBoost,0.0037179
100,72,XGBoost,0.00364685
100,73,XGBoost,0.00355077
100,74,XGBoost,0.00358462
100,75,XGBoost,0.00711226
100,76,XGBoost,0.00357962
100,77,XGBoost,0.00359678
100,78,XGBoost,0.00359058
100,79,XGBoost,0.00351191
100,80,XGBoost,0.00365877
100,81,XGBoost,0.00359678
100,82,XGBoost,0.00375533
100,83,XGBoost,0.00366211
100,84,XGBoost,0.00366712
100,85,XGBoost,0.00356078
100,86,XGBoost,0.00352573
100,87,XGBoost,0.00375509
100,88,XGBoost,0.00366545
100,89,XGBoost,0.0037663
100,90,XGBoost,0.00360608
100,91,XGBoost,0.00370884
100,92,XGBoost,0.00352001
100,93,XGBoost,0.00364828
100,94,XGBoost,0.00351667
100,95,XGBoost,0.00744009
100,96,XGBoost,0.00365424
100,97,XGBoost,0.00370693
100,98,XGBoost,0.00363374
100,99,XGBoost,0.0035367
100,100,XGBoost,0.00362706
215,1,XGBoost,0.00807095
215,2,XGBoost,0.00423932
215,3,XGBoost,0.00426126
215,4,XGBoost,0.00426888
215,5,XGBoost,0.00421381
215,6,XGBoost,0.00422382
215,7,XGBoost,0.0043292
215,8,XGBoost,0.00426316
215,9,XGBoost,0.00424981
215,10,XGBoost,0.0177174
215,11,XGBoost,0.00485587
215,12,XGBoost,0.00415897
215,13,XGBoost,0.00426316
215,14,XGBoost,0.00423265
215,15,XGBoost,0.00419545
215,16,XGBoost,0.0043025
215,17,XGBoost,0.00418258
215,18,XGBoost,0.00421095
215,19,XGBoost,0.00427985
215,20,XGBoost,0.00430369
215,21,XGBoost,0.00420952
215,22,XGBoost,0.00424886
215,23,XGBoost,0.00428176
215,24,XGBoost,0.0042336
215,25,XGBoost,0.00420952
215,26,XGBoost,0.187802
215,27,XGBoost,0.00433278
