,batchsize,package,elapsed_time,throughput
0,100,XGBoost,0.009822890758514405,10180.302566565833
1,100,treelite,0.0055425786972045895,18042.143461207903
2,345,XGBoost,0.009209294319152832,37462.15378115277
3,345,treelite,0.0036234474182128907,95213.1934538066
4,1193,XGBoost,0.016122195720672607,73997.36491663363
5,1193,treelite,0.007272758483886719,164036.79603044307
6,4121,XGBoost,0.0315022349357605,130816.1153773236
7,4121,treelite,0.01617004632949829,254853.93894526106
8,14235,XGBoost,0.08566060304641723,166179.0775893374
9,14235,treelite,0.03795068979263306,375091.9964243517
10,49172,XGBoost,0.2633539414405823,186714.5019019742
11,49172,treelite,0.10294610738754273,477647.97764417646
12,169849,XGBoost,0.9002982449531555,188658.59280758415
13,169849,treelite,0.335814893245697,505781.61783828615
14,586691,XGBoost,3.082291326522827,190342.48805477246
15,586691,treelite,1.1406171345710754,514362.7797776533
16,2026533,XGBoost,10.563168871402741,191848.9635706151
17,2026533,treelite,3.90844443321228,518501.16705751116
18,7000000,XGBoost,36.43442108631134,192126.01137307347
19,7000000,treelite,13.433393473625182,521089.4785255595
